,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
1,0.46,0.29,0.25,665.00,1.00,0.25,0.00,0.22,9.70,48.24,35.03,7.03,9.65,24.00,0.00,,,,,,
2,0.46,0.29,0.25,744.00,1.00,0.30,0.00,0.22,10.13,40.05,43.48,6.35,8.42,21.70,0.00,,,,,,
3,0.46,0.29,0.25,811.00,1.00,0.35,0.00,0.22,9.61,36.16,48.61,5.62,7.61,19.00,0.00,,,,,,
4,0.46,0.29,0.25,670.00,1.00,0.25,0.00,0.28,9.69,46.99,37.26,6.06,9.14,29.60,0.00,,,,,,
5,0.46,0.29,0.25,750.00,1.00,0.30,0.00,0.28,9.37,39.76,45.36,5.51,8.00,27.40,0.00,,,,,,
6,0.46,0.29,0.25,822.00,1.00,0.35,0.00,0.28,9.36,35.88,49.45,5.31,7.44,21.40,0.00,,,,,,
7,0.46,0.29,0.25,700.00,1.00,0.25,0.00,0.33,9.64,42.79,41.91,5.66,8.46,45.00,0.00,,,,,,
8,0.46,0.29,0.25,766.00,1.00,0.30,0.00,0.33,9.53,37.30,47.69,5.48,7.69,40.00,0.00,,,,,,
9,0.46,0.29,0.25,828.00,1.00,0.35,0.00,0.33,9.34,35.32,50.06,5.29,7.35,33.00,0.00,,,,,,
10,0.47,0.19,0.35,740.00,1.65,0.54,0.00,2.89,17.50,21.56,56.56,4.38,1.98,2.30,0.00,,,,,,
11,0.47,0.19,0.35,718.00,1.19,0.45,0.00,1.99,9.72,34.48,49.84,5.96,2.40,0.00,0.00,,,,,,
12,0.44,0.26,0.30,815.00,1.19,0.52,0.00,2.35,9.49,30.38,54.11,6.01,2.21,0.80,0.00,,,,,,
13,0.44,0.26,0.30,772.00,1.19,0.38,0.02,1.95,10.47,38.48,43.19,7.85,3.36,1.40,0.00,,,,,,
14,0.44,0.26,0.30,787.00,1.19,0.43,0.22,1.86,10.92,36.21,45.11,7.76,2.97,7.00,0.00,,,,,,
15,0.44,0.26,0.30,718.00,1.19,0.34,0.00,1.92,13.58,40.99,37.04,8.40,3.90,8.10,0.00,,,,,,
16,0.44,0.26,0.30,752.00,1.19,0.41,0.00,2.02,9.92,37.96,44.19,7.93,3.07,12.30,0.00,,,,,,
17,0.44,0.26,0.30,789.00,1.19,0.34,0.00,1.73,11.20,38.93,41.87,8.00,3.37,14.30,1.39,,,,,,
18,0.45,0.33,0.22,812.00,1.00,0.35,0.00,0.07,19.50,35.30,33.80,11.40,4.76,7.00,0.00,,,,,,
19,0.45,0.33,0.22,804.00,1.00,0.33,0.22,0.07,24.80,32.10,33.10,10.00,4.95,10.00,0.00,,,,,,
20,0.45,0.33,0.22,789.00,1.00,0.33,0.45,0.07,27.30,28.30,34.90,9.40,4.83,8.00,0.00,,,,,,
